skill,count
SQL,40
Python,28
Go,22
Java,15
PostgreSQL,12
C++,10
Git,9
Kafka,8
1С,8
CI/CD,8
JavaScript,4
C#,4
Grafana,4
TypeScript,3
Swift,3
Prometheus,3
Azure,2
PHP,2
Docker,2
Terraform,2
Linux,2
React,1
Kubernetes,1
Redis,1
Kotlin,1
Ansible,1
