role,town,id,profession,firm_name,payment_from,payment_to,currency,experience,education,date_published,link,skills
системный аналитик,Москва,51994531,Интернет-маркетолог,РОСМЭН,0,0,rub,От 1 года,Не имеет значения,1783177845,https://www.superjob.ru/vakansii/internet-marketolog-51994531.html,
системный аналитик,Москва,52031271,Контент-модератор социальной сети,«Медиа Контент Продакшн»,80000,0,rub,Без опыта,Не имеет значения,1782824603,https://www.superjob.ru/vakansii/kontent-moderator-socialnoj-seti-52031271.html,
системный аналитик,Москва,52031406,Контент-Модератор со знанием английского языка,«Медиа Контент Продакшн»,100000,0,rub,Без опыта,Не имеет значения,1782828214,https://www.superjob.ru/vakansii/kontent-moderator-so-znaniem-anglijskogo-yazyka-52031406.html,
системный аналитик,Москва,52067002,Супервайзер отдела продаж (Москва),"ВЕРНЫЙ, Сеть магазинов",126000,170000,rub,От 1 года,Не имеет значения,1783163405,https://www.superjob.ru/vakansii/supervajzer-otdela-prodazh-52067002.html,
системный аналитик,Москва,52067098,Супервайзер группы магазинов,"Сеть магазинов ""Верный""",180000,0,rub,От 1 года,Не имеет значения,1783166697,https://www.superjob.ru/vakansii/supervajzer-gruppy-magazinov-52067098.html,
архитектор ПО,Москва,51961488,Project Manager (B2B),Лаборатория Касперского,0,0,rub,От 1 года,Не имеет значения,1783152991,https://www.superjob.ru/vakansii/project-manager-51961488.html,"C++, Go, SQL, PostgreSQL"
архитектор ПО,Москва,51809077,Дизайнер-архитектор,Tiffany&Co,0,0,rub,От 3 лет,Не имеет значения,1783154704,https://www.superjob.ru/vakansii/dizajner-arhitektor-51809077.html,
архитектор ПО,Москва,51904671,Ведущий архитектор,ПИК,0,0,rub,От 3 лет,Не имеет значения,1783157104,https://www.superjob.ru/vakansii/veduschij-arhitektor-51904671.html,
архитектор ПО,Москва,50929714,Инженер-проектировщик архитектурных и конструктивных решений,Международный аэропорт Внуково,0,0,rub,От 1 года,Не имеет значения,1783169340,https://www.superjob.ru/vakansii/inzhener-proektirovschik-arhitekturnyh-i-konstruktivnyh-reshenij-50929714.html,
архитектор ПО,Москва,34472266,Менеджер кафетерия / Бариста-кассир / Бариста-пекарь,Азбука вкуса,93600,100000,rub,Без опыта,Не имеет значения,1783144800,https://www.superjob.ru/vakansii/menedzher-kafeteriya-34472266.html,
архитектор ПО,Москва,51921356,Инженер по защите и управлению данными,Мах (Team VK company),0,0,rub,От 1 года,Высшее,1783155404,https://www.superjob.ru/vakansii/inzhener-po-51921356.html,"Python, SQL, CI/CD, Kafka, Prometheus, Grafana"
архитектор ПО,Москва,52030530,Инженер-аналитик,Spotify,0,0,rub,Без опыта,Не имеет значения,1782807050,https://www.superjob.ru/vakansii/inzhener-analitik-52030530.html,"Python, Go, SQL"
архитектор ПО,Москва,52030723,Пресейл-инженер сетевых решений,КРОК,0,0,rub,Без опыта,Не имеет значения,1782815983,https://www.superjob.ru/vakansii/presejl-inzhener-setevyh-reshenij-52030723.html,
